,player_id,mode,frame_number,signal_type,num_code,key
167,6108528ed0f643feda6a8bc5,1,649,down,2,2
168,6108528ed0f643feda6a8bc5,1,649,down,18,18
169,6108528ed0f643feda6a8bc5,1,1187,down,999,999
170,6108528ed0f643feda6a8bc5,1,1536,up,2,2
171,6108528ed0f643feda6a8bc5,1,1536,up,1,1
172,6108528ed0f643feda6a8bc5,2,126,up,1,1
173,6108528ed0f643feda6a8bc5,2,765,down,999,999
174,6108528ed0f643feda6a8bc5,2,1027,up,1,1
175,6108528ed0f643feda6a8bc5,2,1593,up,1,1
176,6108528ed0f643feda6a8bc5,2,1593,up,7,7
177,6108528ed0f643feda6a8bc5,2,1937,up,1,1
178,61085d9d4bbc4cf358dfb1d7,1,268,up,1,1
179,61085d9d4bbc4cf358dfb1d7,1,966,up,3,3
180,61085d9d4bbc4cf358dfb1d7,1,966,up,1,1
181,61085d9d4bbc4cf358dfb1d7,1,2445,up,999,999
182,61085d9d4bbc4cf358dfb1d7,1,3109,up,1,1
183,61085d9d4bbc4cf358dfb1d7,1,3109,up,7,7
184,61085d9d4bbc4cf358dfb1d7,1,3109,up,9,9
185,61085d9d4bbc4cf358dfb1d7,2,222,up,1,1
186,61085d9d4bbc4cf358dfb1d7,2,958,up,1,1
187,61085d9d4bbc4cf358dfb1d7,2,2059,up,2,2
188,6108969a42b2e1738ca05309,1,54,up,1,1
189,6108969a42b2e1738ca05309,1,453,up,1,1
190,6108969a42b2e1738ca05309,1,665,down,2,2
191,6108969a42b2e1738ca05309,1,1412,down,2,2
192,6108969a42b2e1738ca05309,1,1412,down,15,15
193,6108969a42b2e1738ca05309,1,1560,up,1,1
194,6108969a42b2e1738ca05309,1,1560,up,8,8
195,6108969a42b2e1738ca05309,1,1818,up,3,3
196,6108969a42b2e1738ca05309,2,51,up,1,1
197,6108a9fa94f1d9dbdcb0d322,1,3116,up,1,1
198,6108a9fa94f1d9dbdcb0d322,2,1078,down,5,5
199,6108ac76f73dfaf3c27db5b9,2,131,up,1,1
200,6108ac76f73dfaf3c27db5b9,2,1204,up,1,1
201,6108ac76f73dfaf3c27db5b9,2,2155,up,1,1
202,6108ac76f73dfaf3c27db5b9,2,2155,up,7,7
203,6108ac76f73dfaf3c27db5b9,2,2489,up,2,2
204,6108ac76f73dfaf3c27db5b9,2,2740,up,1,1
205,6108c66b12dd5a199f12a937,1,50,up,1,1
206,6108c66b12dd5a199f12a937,1,1443,up,1,1
207,6108c66b12dd5a199f12a937,1,1547,up,1,1
208,6108c66b12dd5a199f12a937,1,1776,up,2,2
209,6108c66b12dd5a199f12a937,1,1776,up,1,1
210,6108c66b12dd5a199f12a937,1,2334,up,8,8
211,6108c66b12dd5a199f12a937,1,2447,up,1,1
212,6108c66b12dd5a199f12a937,1,2447,up,8,8
213,6108c66b12dd5a199f12a937,1,2547,up,999,999
214,6108c66b12dd5a199f12a937,2,107,up,1,1
215,6108c66b12dd5a199f12a937,2,215,up,1,1
216,61096ca0999b16524e70304f,1,84,up,1,1
217,61096ca0999b16524e70304f,1,740,up,999,999
218,61096ca0999b16524e70304f,1,1148,down,18,18
219,61096ca0999b16524e70304f,1,1579,up,1,1
220,61096ca0999b16524e70304f,1,1824,down,999,999
