player_id,mode,signal_type,frame_number
610837720098e4d537f6d50b,1,up,2439
610837720098e4d537f6d50b,1,up,2555
610837720098e4d537f6d50b,1,up,2746
610837720098e4d537f6d50b,1,down,3006
610837720098e4d537f6d50b,2,up,90
610837720098e4d537f6d50b,2,up,265
610837720098e4d537f6d50b,2,up,465
610837720098e4d537f6d50b,2,up,773
610837720098e4d537f6d50b,2,up,902
610837720098e4d537f6d50b,2,up,1140
610837720098e4d537f6d50b,2,up,1338
610837720098e4d537f6d50b,2,up,1470
610837720098e4d537f6d50b,2,up,1586
610837720098e4d537f6d50b,2,up,1696
610837720098e4d537f6d50b,2,up,2134
610837720098e4d537f6d50b,2,up,2239
610837720098e4d537f6d50b,2,up,2469
610837720098e4d537f6d50b,2,up,2606
610837720098e4d537f6d50b,2,up,2763
610837720098e4d537f6d50b,2,down,2882
610837720098e4d537f6d50b,2,up,3017
610837720098e4d537f6d50b,2,up,3162
61083d0cd5238a0405e40d81,1,up,114
61083d0cd5238a0405e40d81,1,up,845
61083d0cd5238a0405e40d81,1,up,1901
61083d0cd5238a0405e40d81,1,up,2004
61083d0cd5238a0405e40d81,1,up,2342
61083d0cd5238a0405e40d81,1,up,3091
61083d0cd5238a0405e40d81,2,up,1545
61083d0cd5238a0405e40d81,2,up,3100
61083d0cd5238a0405e40d81,2,up,3238
61084126f133c28acb14c15b,1,up,494
61084126f133c28acb14c15b,2,up,149
61084126f133c28acb14c15b,2,up,557
61084126f133c28acb14c15b,2,up,1202
61084126f133c28acb14c15b,2,up,2074
6108444b19662154fc782bb5,1,down,156
6108444b19662154fc782bb5,1,up,358
6108444b19662154fc782bb5,2,down,339
6108444b19662154fc782bb5,2,down,613
6108444b19662154fc782bb5,2,down,856
61084b29eaf447617f3bf4a3,2,down,1484
61084b29eaf447617f3bf4a3,2,down,2131
6108519b1b1796459ad36a47,1,up,804
6108519b1b1796459ad36a47,1,up,2148
6108519b1b1796459ad36a47,2,up,1443
6108519b1b1796459ad36a47,2,up,2692
6108528ed0f643feda6a8bc5,1,down,649
6108528ed0f643feda6a8bc5,1,down,1187
6108528ed0f643feda6a8bc5,1,up,1536
6108528ed0f643feda6a8bc5,2,up,126
6108528ed0f643feda6a8bc5,2,down,765
6108528ed0f643feda6a8bc5,2,up,1027
6108528ed0f643feda6a8bc5,2,up,1593
6108528ed0f643feda6a8bc5,2,up,1937
61085d9d4bbc4cf358dfb1d7,1,up,268
61085d9d4bbc4cf358dfb1d7,1,up,966
61085d9d4bbc4cf358dfb1d7,1,up,2445
61085d9d4bbc4cf358dfb1d7,1,up,3109
61085d9d4bbc4cf358dfb1d7,2,up,222
61085d9d4bbc4cf358dfb1d7,2,up,958
61085d9d4bbc4cf358dfb1d7,2,up,2059
6108969a42b2e1738ca05309,1,up,54
6108969a42b2e1738ca05309,1,up,453
6108969a42b2e1738ca05309,1,down,665
6108969a42b2e1738ca05309,1,down,1412
6108969a42b2e1738ca05309,1,up,1560
6108969a42b2e1738ca05309,1,up,1818
6108969a42b2e1738ca05309,2,up,51
6108a9fa94f1d9dbdcb0d322,1,up,3116
6108a9fa94f1d9dbdcb0d322,2,down,1078
6108ac76f73dfaf3c27db5b9,2,up,131
6108ac76f73dfaf3c27db5b9,2,up,1204
6108ac76f73dfaf3c27db5b9,2,up,2155
6108ac76f73dfaf3c27db5b9,2,up,2489
6108ac76f73dfaf3c27db5b9,2,up,2740
