,player_id,mode,signal_type,frame_number,num_code
74,610837720098e4d537f6d50b,1,down,3006,"[4, 5, 14, 18]"
75,610837720098e4d537f6d50b,2,up,90,[1]
76,610837720098e4d537f6d50b,2,up,265,[1]
77,610837720098e4d537f6d50b,2,up,465,[1]
78,610837720098e4d537f6d50b,2,up,773,[1]
79,610837720098e4d537f6d50b,2,up,902,[1]
80,610837720098e4d537f6d50b,2,up,1140,[1]
81,610837720098e4d537f6d50b,2,up,1338,[1]
82,610837720098e4d537f6d50b,2,up,1470,[1]
83,610837720098e4d537f6d50b,2,up,1586,[1]
84,610837720098e4d537f6d50b,2,up,1696,"[1, 7]"
85,610837720098e4d537f6d50b,2,up,2134,"[2, 1]"
86,610837720098e4d537f6d50b,2,up,2239,[1]
87,610837720098e4d537f6d50b,2,up,2469,[]
88,610837720098e4d537f6d50b,2,up,2606,[1]
89,610837720098e4d537f6d50b,2,up,2763,[1]
90,610837720098e4d537f6d50b,2,down,2882,[4]
91,610837720098e4d537f6d50b,2,up,3017,[1]
92,610837720098e4d537f6d50b,2,up,3162,[1]
93,61083d0cd5238a0405e40d81,1,up,114,[1]
94,61083d0cd5238a0405e40d81,1,up,845,[]
95,61083d0cd5238a0405e40d81,1,up,1901,[1]
96,61083d0cd5238a0405e40d81,1,up,2004,[1]
97,61083d0cd5238a0405e40d81,1,up,2342,[1]
98,61083d0cd5238a0405e40d81,1,up,3091,[1]
99,61083d0cd5238a0405e40d81,2,up,1545,[1]
100,61083d0cd5238a0405e40d81,2,up,3100,"[2, 1]"
101,61083d0cd5238a0405e40d81,2,up,3238,"[1, 8, 9]"
102,61084126f133c28acb14c15b,1,up,494,[1]
103,61084126f133c28acb14c15b,2,up,149,[1]
104,61084126f133c28acb14c15b,2,up,557,[1]
105,61084126f133c28acb14c15b,2,up,1202,[1]
106,61084126f133c28acb14c15b,2,up,2074,"[1, 7]"
107,6108444b19662154fc782bb5,1,down,156,"[15, 5]"
108,6108444b19662154fc782bb5,1,up,358,[]
109,6108444b19662154fc782bb5,2,down,339,[5]
110,6108444b19662154fc782bb5,2,down,613,"[15, 5]"
111,6108444b19662154fc782bb5,2,down,856,"[4, 15, 5, 12]"
112,61084b29eaf447617f3bf4a3,2,down,1484,"[4, 5]"
