AU09_r_max,AU14_r_max,AU15_r_max,AU17_r_max,AU20_r_max,AU23_r_max,AU45_r_max,AU09_r_min,AU14_r_min,AU15_r_min,AU17_r_min,AU20_r_min,AU23_r_min,AU45_r_min,AU09_r_mean,AU14_r_mean,AU15_r_mean,AU17_r_mean,AU20_r_mean,AU23_r_mean,AU45_r_mean,AU09_r_sd,AU14_r_sd,AU15_r_sd,AU17_r_sd,AU20_r_sd,AU23_r_sd,AU45_r_sd,type
1.98,1.54,0.02,1.68,0.87,1.36,0.54,1.02,0.89,0.0,0.39,0.0,0.0,0.0,1.6097777777777778,1.2782222222222221,0.00044444444444444447,0.6791111111111111,0.050444444444444445,0.8400000000000001,0.012,0.1847416979176465,0.15748432662113754,0.0029814239699997194,0.20990064989961998,0.16581692472498857,0.34128766858366383,0.08049844718999244,signal
1.2,2.13,2.73,4.75,1.26,1.68,1.01,0.22,0.26,0.0,0.31,0.0,0.0,0.0,0.7671428571428571,1.5667857142857142,0.2567857142857143,1.1060714285714286,0.17500000000000002,0.7192857142857143,0.1282142857142857,0.2602542509398744,0.44541327934626,0.7436549058855317,1.0665879807286975,0.3707200201409864,0.3604208298686059,0.3212251266799999,signal
0.0,0.52,0.78,0.16,1.18,0.75,0.0,0.0,0.0,0.33,0.0,0.3,0.03,0.0,0.0,0.156,0.5382222222222222,0.0071111111111111115,0.6906666666666668,0.4544444444444446,0.0,0.0,0.15276839273286152,0.12108015543599224,0.0265964985923662,0.2062478650027239,0.13079400103625052,0.0,signal
0.0,0.11,0.67,0.02,0.85,0.63,2.07,0.0,0.0,0.24,0.0,0.11,0.13,0.0,0.0,0.007333333333333334,0.45933333333333337,0.00044444444444444447,0.49199999999999994,0.37733333333333335,0.10088888888888888,0.0,0.02209483691231547,0.09656368600330797,0.0029814239699997194,0.15926821288745482,0.11875107655014408,0.4242256165501722,signal
0.0,0.15,0.65,0.12,0.76,0.68,2.41,0.0,0.0,0.31,0.0,0.28,0.18,0.0,0.0,0.009555555555555557,0.4744444444444445,0.007333333333333335,0.5162222222222224,0.3766666666666667,0.07466666666666667,0.0,0.028119514055315233,0.08170221860667265,0.025172134665863433,0.13297793543716682,0.09648363026488435,0.3735128085913763,signal
0.0,0.0,0.78,0.0,0.71,0.5,0.0,0.0,0.0,0.38,0.0,0.13,0.0,0.0,0.0,0.0,0.5906896551724138,0.0,0.40689655172413797,0.276551724137931,0.0,0.0,0.0,0.0941097776339176,0.0,0.1325600523826267,0.10701387967618851,0.0,signal
0.0,0.0,1.11,0.41,0.71,0.58,2.33,0.0,0.0,0.5,0.0,0.09,0.03,0.0,0.0,0.0,0.7277777777777777,0.048666666666666664,0.3964444444444444,0.29400000000000004,0.0708888888888889,0.0,0.0,0.12424113081366649,0.09262828941527529,0.15200412009301761,0.1391434838248241,0.3636170701952451,signal
0.0,0.28,0.83,0.46,0.79,0.79,0.0,0.0,0.0,0.46,0.0,0.13,0.12,0.0,0.0,0.028666666666666667,0.654,0.08666666666666667,0.4024444444444443,0.4928888888888889,0.0,0.0,0.07089044043772437,0.09218065267328457,0.1051622123630485,0.16220295305510926,0.15683839717455297,0.0,signal
0.0,0.11,0.78,0.22,1.0,0.84,0.0,0.0,0.0,0.37,0.0,0.12,0.22,0.0,0.0,0.004666666666666667,0.554,0.03577777777777778,0.41311111111111104,0.5242222222222223,0.0,0.0,0.019259000257258706,0.08233523491853842,0.06279435733512458,0.17166063537507292,0.15184455102758107,0.0,signal
0.0,0.0,0.74,0.19,0.65,0.67,2.44,0.0,0.0,0.43,0.0,0.08,0.24,0.0,0.0,0.0,0.5835555555555555,0.021333333333333336,0.3475555555555555,0.432888888888889,0.102,0.0,0.0,0.07631142996585992,0.04545727264545946,0.14913623356386657,0.09416190655708202,0.3998329196506507,signal
0.0,0.0,0.86,0.22,0.89,0.64,2.46,0.0,0.0,0.41,0.0,0.04,0.19,0.0,0.0,0.0,0.63,0.027333333333333334,0.4151111111111111,0.4259999999999999,0.08866666666666667,0.0,0.0,0.0997041076932595,0.04740540820700448,0.1982723359218809,0.1155107236265416,0.38819863706378693,signal
