AU09_r_max,AU14_r_max,AU15_r_max,AU17_r_max,AU20_r_max,AU23_r_max,AU09_r_min,AU14_r_min,AU15_r_min,AU17_r_min,AU20_r_min,AU23_r_min,AU09_r_mean,AU14_r_mean,AU15_r_mean,AU17_r_mean,AU20_r_mean,AU23_r_mean,AU09_r_sd,AU14_r_sd,AU15_r_sd,AU17_r_sd,AU20_r_sd,AU23_r_sd,type
0.94,1.45,0.17,1.03,0.83,0.9,0.34,0.43,0.0,0.55,0.0,0.52,0.55,0.8973913043478261,0.007391304347826088,0.816521739130435,0.39913043478260873,0.6860869565217391,0.1316330989047691,0.20710597619454169,0.03544745038970271,0.13384552478857425,0.2372553868241459,0.10071287407254631,signal
1.04,1.66,0.03,1.69,1.52,1.24,0.39,0.86,0.0,0.81,0.66,0.55,0.6452173913043479,1.3130434782608698,0.0013043478260869564,1.1447826086956518,1.0934782608695652,0.8465217391304347,0.1812298782615702,0.18738474718679976,0.006255432421712241,0.2145792831908606,0.21197359817701517,0.2076187216915612,signal
0.67,1.25,0.0,1.06,0.78,1.28,0.19,0.65,0.0,0.35,0.08,0.84,0.4591304347826086,0.9056521739130432,0.0,0.7404347826086957,0.3973913043478261,1.0808695652173914,0.12239700841108898,0.1743514237748921,0.0,0.17897379851073084,0.16815083573182818,0.11645963184641438,signal
0.76,1.13,0.0,0.49,0.47,0.99,0.07,0.47,0.0,0.04,0.0,0.58,0.42913043478260865,0.742608695652174,0.0,0.24695652173913044,0.17173913043478262,0.8095652173913043,0.14193189927433703,0.1819145001793262,0.0,0.12271307193496304,0.13482824676781277,0.11910569259235741,signal
0.6,1.77,0.0,0.75,1.68,0.89,0.0,0.6,0.0,0.0,0.58,0.06,0.2325,1.2418749999999998,0.0,0.179375,0.9750000000000001,0.36250000000000004,0.17468066101699217,0.317452752390021,0.0,0.21498740273172595,0.24127439427617123,0.2044667862188543,signal
0.65,1.4,0.0,2.02,1.21,1.4,0.04,0.93,0.0,1.42,0.63,0.89,0.28130434782608693,1.1552173913043478,0.0,1.7160869565217394,0.9213043478260872,1.0899999999999999,0.14407398187377354,0.14650068461575658,0.0,0.16425421346290087,0.1329150223340287,0.13249356759686653,signal
0.66,1.39,0.0,1.69,1.27,1.28,0.13,0.74,0.0,1.11,0.69,0.81,0.35434782608695653,1.0343478260869563,0.0,1.4391304347826088,0.9456521739130435,1.086521739130435,0.13248760103072843,0.19260949865552324,0.0,0.15762190213171692,0.16607298743067822,0.12857996081859205,signal
0.78,1.4,0.0,1.56,1.33,1.38,0.23,0.71,0.0,1.14,0.72,0.82,0.4691304347826087,1.0169565217391305,0.0,1.3704347826086958,0.9595652173913044,1.1121739130434782,0.17209704037068108,0.1738974301291816,0.0,0.1090236947085593,0.16086352942421173,0.1376080244006382,signal
0.6,1.2,0.0,1.65,1.22,1.4,0.25,0.8,0.0,1.16,0.72,0.86,0.44347826086956527,0.968695652173913,0.0,1.4065217391304348,1.017391304347826,1.0660869565217395,0.12441165889724813,0.10897474051882962,0.0,0.12644110003735387,0.14839190713366682,0.1338499543394761,signal
0.57,1.55,0.05,1.58,1.17,1.22,0.08,0.76,0.0,1.08,0.66,0.82,0.3847826086956522,1.1060869565217393,0.003913043478260869,1.3460869565217393,0.9782608695652174,1.0208695652173914,0.1206749791501344,0.20908326158896567,0.013052039351200886,0.12474479877788244,0.13186260666152902,0.09746388811332127,signal
0.77,1.26,0.0,1.53,1.37,1.4,0.03,0.59,0.0,1.05,0.6,0.77,0.46,1.0569565217391304,0.0,1.2791304347826087,0.9443478260869567,1.0604347826086957,0.19847143142253268,0.17136974334113453,0.0,0.12224837026161353,0.19083134121656703,0.1563061756724912,signal
0.71,1.29,0.0,1.57,1.37,1.21,0.12,0.64,0.0,0.98,0.79,0.7,0.4504347826086956,1.0013043478260868,0.0,1.27,1.0178260869565217,1.043913043478261,0.12050945873361465,0.18791449573545382,0.0,0.1451331676896648,0.13577911613884752,0.10739642496313208,signal
